order_item_id,order_id,product_id,quantity,price
1,1,262,1,117.02
2,1,287,5,19.04
3,2,108,2,106.48
4,2,124,4,44.14
5,2,238,4,31.86
6,2,130,4,257.42
7,3,77,4,109.68
8,3,183,4,236.63
9,3,292,2,28.38
10,3,202,3,12.52
11,3,157,2,75.81
12,4,176,3,25.21
13,4,64,3,52.38
14,5,277,2,97.94
15,5,147,4,485.76
16,5,20,1,50.5
17,5,42,5,63.88
18,6,148,3,487.79
19,6,193,3,108.91
20,7,236,5,526.96
21,7,236,4,526.96
22,7,105,4,107.33
23,7,207,5,16.98
24,7,239,1,136.87
25,8,11,1,231.52
26,8,127,4,22.72
27,8,50,1,743.02
28,9,39,4,133.37
29,9,137,3,149.95
30,9,279,2,38.71
31,9,164,4,86.37
32,9,31,4,64.98
33,10,142,5,161.0
34,10,281,3,119.49
35,10,207,4,16.98
36,10,172,2,253.96
37,11,165,3,36.16
38,12,117,1,398.79
39,13,251,1,35.02
40,13,244,4,56.43
41,13,247,3,89.75
42,14,267,5,689.41
43,14,87,4,130.58
44,14,246,4,86.36
45,15,100,4,131.23
46,15,227,2,49.49
47,15,119,4,64.04
48,15,196,2,482.53
49,16,5,1,137.61
50,16,141,1,87.38
51,16,228,3,380.44
52,17,178,4,21.4
53,17,82,1,164.18
54,17,85,2,296.98
55,17,65,2,80.97
56,17,290,4,15.29
57,18,194,5,124.69
58,18,117,1,398.79
59,18,267,1,689.41
60,18,164,1,86.37
61,19,64,1,52.38
62,19,243,1,189.63
63,19,127,2,22.72
64,19,39,5,133.37
65,20,140,3,32.69
66,20,252,2,66.38
67,20,157,2,75.81
68,20,259,5,22.02
69,20,237,1,135.87
70,21,100,5,131.23
71,21,58,1,144.13
72,21,211,4,30.9
73,21,138,5,287.05
74,21,11,2,231.52
75,22,283,3,78.94
76,22,58,4,144.13
77,22,25,4,124.07
78,22,260,4,26.56
79,22,213,2,117.05
80,23,221,3,372.72
81,23,16,1,47.87
82,24,219,2,237.85
83,24,45,3,14.29
84,24,63,3,73.53
85,24,292,3,28.38
86,24,66,2,188.81
87,25,159,3,258.72
88,25,145,3,98.1
89,25,234,1,536.48
90,25,108,1,106.48
91,26,11,4,231.52
92,26,95,3,92.43
93,26,130,3,257.42
94,26,103,5,421.78
95,26,273,1,24.22
96,27,187,5,36.14
97,27,177,1,149.67
98,27,156,5,28.01
99,27,246,1,86.36
100,27,199,1,113.49
101,28,75,2,27.2
102,29,242,1,507.27
103,29,150,1,65.23
104,29,178,2,21.4
105,30,117,2,398.79
106,30,21,3,244.0
107,31,108,4,106.48
108,31,287,3,19.04
109,31,271,2,53.58
110,31,176,3,25.21
111,32,45,1,14.29
112,32,172,1,253.96
113,32,264,4,14.6
114,32,66,4,188.81
115,32,189,4,30.91
116,33,210,5,144.17
117,33,107,2,559.17
118,33,16,4,47.87
119,33,239,1,136.87
120,33,222,4,77.28
121,34,50,5,743.02
122,34,12,2,77.13
123,34,190,5,158.92
124,34,296,4,52.32
125,35,214,1,130.34
126,35,287,3,19.04
127,35,175,2,21.88
128,35,201,1,72.54
129,36,151,3,154.12
130,36,268,2,27.95
131,37,134,2,33.93
132,37,258,5,298.91
133,37,62,3,671.09
134,38,299,3,55.32
135,38,52,2,119.05
136,39,67,3,288.96
137,39,59,4,111.76
138,39,35,2,189.92
139,39,136,5,69.73
140,40,288,3,41.87
141,40,221,3,372.72
142,40,85,3,296.98
143,41,247,1,89.75
144,41,148,1,487.79
145,41,199,1,113.49
146,42,109,1,117.59
147,42,10,5,460.16
148,43,46,3,7.12
149,43,274,5,24.49
150,43,106,1,61.82
151,44,223,1,31.7
152,44,248,2,257.76
153,44,136,2,69.73
154,44,246,1,86.36
155,44,70,2,29.71
156,45,257,3,356.15
157,45,278,3,140.61
158,45,95,1,92.43
159,45,115,4,598.49
160,45,62,3,671.09
161,46,22,1,76.36
162,46,83,2,45.6
163,46,5,4,137.61
164,46,261,5,141.33
165,46,280,4,251.45
166,47,87,2,130.58
167,47,142,5,161.0
168,47,251,5,35.02
169,48,67,4,288.96
170,48,141,5,87.38
171,49,277,5,97.94
172,49,221,2,372.72
173,49,193,2,108.91
174,50,61,4,167.43
175,50,243,4,189.63
176,50,9,5,241.94
177,50,272,5,35.46
178,51,41,1,166.7
179,52,272,4,35.46
180,52,276,4,775.82
181,52,42,1,63.88
182,52,266,3,52.35
183,52,52,5,119.05
184,53,100,2,131.23
185,54,28,1,215.76
186,54,29,3,311.74
187,54,122,1,344.16
188,54,212,5,65.3
189,55,265,2,38.76
190,55,296,1,52.32
191,55,46,4,7.12
192,56,281,4,119.49
193,56,238,3,31.86
194,56,89,5,208.92
195,56,246,5,86.36
196,56,179,4,250.65
197,57,24,2,100.17
198,57,270,4,89.08
199,57,278,5,140.61
200,58,58,5,144.13
201,58,147,5,485.76
202,58,106,2,61.82
203,59,53,4,205.98
204,59,222,4,77.28
205,59,25,1,124.07
206,59,35,1,189.92
207,59,157,1,75.81
208,60,278,3,140.61
209,60,294,5,70.66
210,60,277,5,97.94
211,61,47,1,49.51
212,62,162,4,108.88
213,62,131,3,201.53
214,62,295,4,394.69
215,63,168,5,70.49
216,63,258,3,298.91
217,64,137,1,149.95
218,64,103,1,421.78
219,64,129,3,68.68
220,64,161,5,68.31
221,64,38,5,104.89
222,65,145,5,98.1
223,65,68,4,61.95
224,65,268,3,27.95
225,65,218,1,144.41
226,66,289,4,192.82
227,66,206,5,47.46
228,67,47,3,49.51
229,67,234,4,536.48
230,67,299,2,55.32
231,68,194,1,124.69
232,68,274,3,24.49
233,68,208,4,38.64
234,68,275,4,394.34
235,69,164,2,86.37
236,69,127,2,22.72
237,70,256,5,64.18
