order_id,payment_amount,payment_type
1,212.21999999999997,credit_card
2,1546.64,bank_transfer
3,1631.18,debit_card
4,232.77,debit_card
5,2508.82,credit_card
6,1790.1000000000001,credit_card
7,5393.7300000000005,paypal
8,635.22,credit_card
8,430.2,bank_transfer
9,1666.15,debit_card
10,1739.31,paypal
11,69.96,credit_card
11,38.52,credit_card
12,398.79,paypal
13,529.99,paypal
14,4314.8099999999995,credit_card
15,1845.12,credit_card
16,1366.31,paypal
17,394.53,debit_card
17,672.31,credit_card
18,1798.02,paypal
19,954.3,credit_card
20,628.42,credit_card
21,2822.17,credit_card
22,1097.7,credit_card
22,552.26,credit_card
23,375.22,debit_card
23,790.81,credit_card
24,1201.92,credit_card
25,1713.42,paypal
26,4108.75,debit_card
27,670.27,paypal
28,54.4,credit_card
29,615.3,credit_card
30,1529.58,bank_transfer
31,665.83,credit_card
32,1205.53,debit_card
33,2476.66,debit_card
34,2358.32,cash_on_delivery
34,2514.92,bank_transfer
35,303.76,credit_card
36,518.26,paypal
37,3575.6800000000003,debit_card
38,404.06,cash_on_delivery
39,2042.4099999999999,credit_card
40,2134.71,credit_card
41,691.03,credit_card
42,2418.3900000000003,debit_card
43,205.63,debit_card
44,832.46,credit_card
45,5989.9400000000005,credit_card
46,2430.45,credit_card
47,1241.2600000000002,credit_card
48,1592.7399999999998,debit_card
49,1452.96,credit_card
50,2815.2400000000002,paypal
51,166.7,credit_card
52,4061.3,credit_card
53,262.46,credit_card
54,1821.64,credit_card
55,158.32,credit_card
56,3052.54,paypal
57,1259.71,debit_card
58,3273.09,credit_card
59,1522.84,paypal
60,657.8,debit_card
60,607.03,credit_card
61,49.51,credit_card
62,2618.87,credit_card
63,1249.18,credit_card
64,1643.77,cash_on_delivery
65,966.56,bank_transfer
66,1008.5799999999999,debit_card
67,2405.09,credit_card
68,1930.08,debit_card
69,128.15,debit_card
69,90.03,credit_card
70,676.7,credit_card
71,1837.6299999999999,credit_card
72,688.32,bank_transfer
73,1538.6399999999999,credit_card
74,1335.92,bank_transfer
75,2023.5300000000002,paypal
76,4115.4,credit_card
77,741.3199999999999,cash_on_delivery
78,156.56,bank_transfer
79,486.48,credit_card
80,1230.76,paypal
81,1114.2,bank_transfer
82,545.74,credit_card
83,2084.77,debit_card
84,2350.3199999999997,bank_transfer
85,641.9100000000001,paypal
86,24.97,credit_card
86,45.35,credit_card
87,2678.18,debit_card
88,930.4300000000001,credit_card
89,2271.95,paypal
90,270.46,credit_card
90,344.42,debit_card
91,566.4300000000001,credit_card
92,1725.04,credit_card
93,828.43,debit_card
93,887.88,credit_card
94,3442.92,credit_card
95,271.06,debit_card
96,565.32,credit_card
97,530.6,credit_card
98,771.6800000000001,paypal
99,142.57,cash_on_delivery
100,515.0400000000001,credit_card
101,698.22,credit_card
101,1258.36,credit_card
102,386.48,credit_card
103,292.75,debit_card
104,562.48,debit_card
105,1690.58,credit_card
106,810.6899999999999,paypal
107,1808.5700000000002,paypal
108,128.51,credit_card
108,218.57,debit_card
109,4025.9799999999996,credit_card
110,1776.7399999999998,bank_transfer
111,90.88,debit_card
112,800.5,bank_transfer
113,1692.21,bank_transfer
114,1422.1100000000001,paypal
115,2335.85,credit_card
116,878.12,debit_card
117,1403.8000000000002,credit_card
118,121.44,credit_card
119,3960.1400000000003,paypal
120,547.53,bank_transfer
121,1877.9,credit_card
122,369.31,credit_card
123,66.59,credit_card
124,445.73,credit_card
125,20.03,credit_card
126,430.3,debit_card
127,169.60000000000002,credit_card
128,430.15999999999997,debit_card
129,1965.7600000000002,bank_transfer
130,56.02,credit_card
131,398.73,credit_card
131,512.03,debit_card
132,704.74,credit_card
133,566.26,bank_transfer
134,2428.8,credit_card
135,2607.56,debit_card
136,3931.17,credit_card
137,782.07,paypal
138,2278.43,credit_card
139,264.47,debit_card
139,143.63,credit_card
140,2702.8,debit_card
141,1179.06,debit_card
142,1324.77,credit_card
143,400.08,paypal
144,608.4599999999999,bank_transfer
145,470.99,bank_transfer
146,1254.47,credit_card
147,6068.97,paypal
148,1358.0000000000002,bank_transfer
149,2108.8999999999996,credit_card
150,1762.3500000000001,credit_card
151,418.28000000000003,credit_card
152,1744.0,credit_card
153,460.16,paypal
154,1207.91,debit_card
155,321.18,credit_card
155,345.56,bank_transfer
156,1035.5,credit_card
157,2799.14,credit_card
158,2505.68,credit_card
159,208.92,paypal
160,1189.28,debit_card
161,806.12,debit_card
162,2373.16,credit_card
163,184.86,debit_card
164,53.12,paypal
165,2030.23,paypal
166,161.94,credit_card
167,4880.9400000000005,credit_card
168,1734.6599999999999,debit_card
169,332.15,credit_card
170,325.5,credit_card
171,587.7,credit_card
172,1539.23,debit_card
173,654.28,credit_card
174,389.81,debit_card
174,317.58,credit_card
175,373.4,credit_card
175,602.55,debit_card
176,1920.21,credit_card
177,6096.78,credit_card
178,27.95,debit_card
179,1477.26,credit_card
180,1274.74,debit_card
181,1874.65,credit_card
182,432.39,cash_on_delivery
183,817.2199999999999,paypal
184,2530.05,debit_card
185,326.73,bank_transfer
186,439.23,credit_card
186,604.53,paypal
187,607.75,credit_card
188,2501.25,credit_card
189,2028.64,credit_card
190,361.15000000000003,credit_card
191,3365.9,paypal
192,961.54,debit_card
193,85.6,credit_card
194,4166.89,credit_card
195,568.36,credit_card
196,580.12,cash_on_delivery
197,1905.54,cash_on_delivery
198,997.3899999999999,credit_card
199,2758.1499999999996,credit_card
200,112.86,credit_card
201,2499.85,paypal
202,645.46,debit_card
203,425.88,credit_card
204,285.56,cash_on_delivery
205,1598.7399999999998,credit_card
206,2642.73,credit_card
207,3802.79,bank_transfer
208,1405.02,cash_on_delivery
209,402.39,credit_card
210,3944.94,credit_card
211,4380.29,debit_card
212,1941.83,debit_card
213,145.97,credit_card
213,125.77,cash_on_delivery
214,3605.5,debit_card
215,678.85,credit_card
216,3358.89,credit_card
217,2441.55,debit_card
218,1535.9699999999998,paypal
219,4974.44,credit_card
220,1902.8,credit_card
221,65.38,cash_on_delivery
222,1825.27,paypal
223,1272.8,credit_card
224,2040.0900000000001,debit_card
225,915.74,debit_card
226,2619.71,cash_on_delivery
227,356.14,cash_on_delivery
228,471.90999999999997,cash_on_delivery
229,639.79,cash_on_delivery
230,1657.4,credit_card
231,2646.34,credit_card
232,1585.6399999999999,cash_on_delivery
233,692.87,credit_card
233,355.78,credit_card
234,2031.8899999999999,credit_card
235,1199.77,credit_card
236,490.05,paypal
237,1306.26,credit_card
238,1417.28,paypal
239,754.3499999999999,credit_card
240,393.5,paypal
241,1962.47,credit_card
241,1576.36,credit_card
242,2789.59,debit_card
243,205.72,credit_card
243,105.38,paypal
244,454.01000000000005,paypal
245,2444.04,credit_card
246,1682.6999999999998,credit_card
247,760.88,debit_card
248,354.39,debit_card
249,174.76,credit_card
250,34.23,credit_card
251,2393.39,credit_card
252,2204.58,credit_card
253,1288.3700000000001,debit_card
254,968.12,credit_card
255,1541.79,bank_transfer
256,1620.4099999999999,debit_card
257,2464.59,debit_card
258,1776.92,paypal
259,1699.51,credit_card
260,3145.3999999999996,credit_card
261,21.88,cash_on_delivery
262,1439.25,debit_card
263,536.98,cash_on_delivery
264,2575.62,debit_card
265,25.26,paypal
265,28.32,credit_card
266,245.94,bank_transfer
267,243.24,bank_transfer
268,1331.09,paypal
269,2085.71,credit_card
270,56.02,credit_card
271,1797.6000000000001,debit_card
272,3497.09,credit_card
273,1143.94,paypal
274,3103.3500000000004,paypal
275,1086.52,debit_card
276,1538.11,credit_card
277,111.61,credit_card
278,411.64,credit_card
279,2496.64,credit_card
280,861.1500000000001,credit_card
281,1500.55,paypal
281,2207.65,bank_transfer
282,1190.28,credit_card
283,1902.2,debit_card
284,3383.73,credit_card
285,2238.83,paypal
286,1249.54,credit_card
287,495.36,paypal
288,3879.1000000000004,debit_card
289,132.79999999999998,debit_card
290,2406.36,credit_card
291,418.79,paypal
292,469.47,credit_card
293,149.95,paypal
294,2156.2,credit_card
295,1913.21,credit_card
296,2305.88,cash_on_delivery
297,530.38,credit_card
298,752.55,credit_card
299,849.52,bank_transfer
300,734.01,credit_card
300,430.17,debit_card
301,507.27,paypal
302,4002.4300000000003,credit_card
303,123.6,credit_card
304,2795.85,credit_card
305,758.22,cash_on_delivery
305,1620.89,credit_card
306,1098.6,debit_card
307,1764.25,credit_card
308,1488.8000000000002,paypal
309,482.53,credit_card
310,370.72,credit_card
311,2137.94,credit_card
312,1284.39,credit_card
313,2286.88,credit_card
314,3622.3,credit_card
315,1137.22,credit_card
315,722.55,debit_card
316,642.8199999999999,credit_card
317,316.53,credit_card
318,2015.16,bank_transfer
319,2925.75,cash_on_delivery
320,1344.3,credit_card
320,1078.1,debit_card
321,1222.9099999999999,bank_transfer
322,225.5,credit_card
323,3338.4300000000003,credit_card
324,1003.7700000000001,credit_card
325,83.74,credit_card
326,221.86,credit_card
327,1139.99,cash_on_delivery
328,807.3,paypal
328,550.03,credit_card
329,320.2,cash_on_delivery
330,132.34,cash_on_delivery
331,1108.77,debit_card
332,2468.32,debit_card
333,1033.04,paypal
334,1535.19,credit_card
335,209.35,credit_card
336,145.08,credit_card
337,252.63,credit_card
338,670.0200000000001,paypal
339,834.75,bank_transfer
340,1928.3600000000001,cash_on_delivery
341,627.8199999999999,paypal
342,28.27,debit_card
343,3934.0,debit_card
344,163.29,credit_card
345,485.5,debit_card
346,355.32000000000005,credit_card
347,878.9100000000001,credit_card
348,920.54,credit_card
348,694.64,debit_card
349,4466.3,credit_card
350,1192.36,paypal
350,634.79,paypal
351,86.37,credit_card
352,518.86,bank_transfer
